Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Real Madrid,Modric,Pass,0,39,50,50,20,60
Liverpool ,Henderson,Pass,0,43,35,62,13,55
Real Madrid,Camavinga,Pass,0,45,20,44,28,45
Real Madrid,Modric,Pass,0,53,29,77,36,87
Liverpool ,Salah,Assist,0,58,22,21,11,43
Liverpool ,Darwin,Goal,0,58,10,45,0,46
Liverpool ,Salah,Shot,1,33,7,28,0,34
Liverpool ,Salah,Goal,1,46,6,38,0,43
Real Madrid,Benzema,Assist,2,6,82,17,87,29
Real Madrid,Vini,Goal,2,6,88,34,100,58
Real Madrid,Salah,Shot,2,32,8,42,2,51
Real Madrid,Valverde,Shot,3,0,88,71,100,67
Real Madrid,Vini,Goal,3,7,89,39,99,48
Liverpool ,Trent,Shot,3,43,26,57,1,57
Real Madrid,Modric,Assist,4,24,5,82,8,57
Real Madrid,Militao,Goal,4,24,8,59,0,59
Real Madrid,Benzema,Goal,5,15,11,42,1,46
Real Madrid,Rudiger,Shot,6,1,27,68,1,68
Liverpool ,Bajcetic,Shot,6,25,69,62,100,64
Real Madrid,Vini,Assist,6,32,19,66,20,50
Real Madrid,Benzema,Goal,6,32,13,57,1,55
Liverpool ,Firmino,Shot,7,7,89,50,100,50
Real Madrid,Ceballos,Pass,7,45,54,68,70,86